Wavelength (nm), Blue, Green, Red, NIR
400,0,0,0,0
401,0,0,0,0
402,0,0,0,0
403,0,0,0,0
404,0,0,0,0
405,0,0,0,0
406,0,0,0,0
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,0,0,0
412,0,0,0,0
413,0,0,0,0
414,0,0,0,0
415,0,0,0,0
416,0,0,0,0
417,0,0,0,0
418,0,0,0,0
419,0,0,0,0
420,0,0,0,0
421,0,0,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,0,0,0,0
426,0,0,0,0
427,0,0,0,0
428,0,0,0,0
429,0,0,0,0
430,0,0,0,0
431,0,0,0,0
432,0,0,0,0
433,0,0,0,0
434,0,0,0,0
435,0,0,0,0
436,0,0,0,0
437,0,0,0,0
438,0,0,0,0
439,0,0,0,0
440,0,0,0,0
441,0.000683527,0,0,0
442,0,0,0,0
443,0,0,0,0
444,0.000455685,0,0,0
445,0,0,0,0
446,0.000683527,0,0,0
447,0,0,0,0
448,0,0,0,0
449,0,0,0,0
450,0,0,0,0
451,0,0,0,0
452,0,0,0,0
453,0.000227842,0,0,0
454,0.000227842,0,0,0
455,0,0,0,0
456,0,0,0,0
457,0,0,0,0
458,0.000455685,0,0,0
459,0.000683527,0,0,0
460,0.006151743,0,0,0
461,0.020050125,0,0,0
462,0.062428799,0,0,0
463,0.192526771,0,0,0
464,0.447482342,0,0,0
465,0.768284347,0,0,0
466,0.952608795,0,0,0
467,0.957393484,0,0,0
468,0.956254272,0,0,0
469,0.952608795,0,0,0
470,0.952608795,0,0,0
471,0.961266803,0,0,0
472,0.962633857,0,0,0
473,0.95898838,0,0,0
474,0.95898838,0,0,0
475,0.963545227,0,0,0
476,0.964912281,0,0,0
477,0.966507177,0,0,0
478,0.965367965,0,0,0
479,0.966735019,0,0,0
480,0.969013443,0,0,0
481,0.974025974,0,0,0
482,0.972886762,0,0,0
483,0.973798132,0,0,0
484,0.972886762,0,0,0
485,0.97562087,0,0,0
486,0.972203235,0,0,0
487,0.968102073,0,0,0
488,0.974481659,0,0,0
489,0.977215767,0,0,0
490,0.983139667,0,0,0
491,0.981544771,0,0,0
492,0.982911825,0,0,0
493,0.98632946,0,0,0
494,0.989519253,0,0,0
495,0.990430622,0,0,0
496,0.984962406,0,0,0
497,0.986101618,0,0,0
498,0.988152199,0,0,0
499,0.997493734,0,0,0
500,0.99703805,0,0,0
501,0.998860788,0,0,0
502,0.993392572,0,0,0
503,0.994531784,0,0,0
504,0.99612668,0,0,0
505,1,0,0,0
506,0.999772158,0,0,0
507,0.994303942,0,0,0
508,0.996810207,0,0,0
509,0.997721577,0,0,0
510,0.998860788,0,0,0
511,0.992481203,0,0,0
512,0.994303942,0,0,0
513,0.994531784,0,0,0
514,0.996582365,0,0,0
515,0.996354523,0,0,0
516,0.987924356,0,0,0
517,0.644110276,0,0,0
518,0.136021873,0,0,0
519,0.020733652,0,0,0
520,0.002734108,0,0,0
521,0.002278423,0,0,0
522,0,0,0,0
523,0.000227842,0,0,0
524,0,0,0,0
525,0,0,0,0
526,0.002050581,0,0,0
527,0.001367054,0,0,0
528,0,0,0,0
529,0,0,0,0
530,0,0.000460829,0,0
531,0.000455685,0.075806452,0,0
532,0,0,0,0
533,0,0.000921659,0,0
534,0.000227842,0,0,0
535,0,0,0,0
536,0,0,0,0
537,0,0,0,0
538,0,0,0,0
539,0.000683527,0,0,0
540,0.000455685,0,0,0
541,0.000455685,0,0,0
542,0.000455685,0,0,0
543,0.000455685,0.015898618,0,0
544,0.000455685,0.147695853,0,0
545,0.000455685,0.241013825,0,0
546,0.000455685,0.34078341,0,0
547,0.000455685,0.65921659,0,0
548,0.000455685,0.947695853,0,0
