Wavelength (nm), Blue response, Green response, Red response, NIR response
400,0,0,0,0
410,0,0,0,0
420,0,0,0,0
430,0,0,0,0
440,0,0,0,0
450,0,0,0,0
460,0.006151743,0,0,0
470,0.952608795,0,0,0
480,0.969013443,0,0,0
490,0.983139667,0,0,0
500,0.99703805,0,0,0
510,0.998860788,0,0,0
520,0.002734108,0,0,0
530,0,0.000460829,0,0
540,0.000455685,0,0,0
550,0.000455685,0.982949309,0,0
560,0.000455685,0.996313364,0,0
570,0.000683527,0.975806452,0,0
580,0.000683527,0.978341014,0,0
590,0.000683527,0.000921659,0,0
600,0.000683527,0.000230415,0,0
610,0.000911369,0,0,0
620,0.000911369,0,0,0
630,0.000911369,0,0,0
640,0.000911369,0,0,0
650,0.000911369,0,0.622476814,0
660,0.000911369,0,0.978723404,0
670,0.000911369,0,0.93726132,0
680,0.000911369,0,0.903164212,0
690,0.000911369,0,0.000272777,0
700,0.000911369,0,0.001091107,0
710,0.001139212,0,0.001091107,0
720,0.000911369,0,0.001091107,0
730,0.000911369,0,0.000818331,0
740,0.000911369,0,0.000818331,0
750,0.000911369,0,0.000818331,0
760,0.000911369,0,0.000818331,0
770,0.000911369,0,0.000818331,0
780,0.000911369,0,0.000818331,0
790,0.000911369,0,0.000545554,0
800,0.000911369,0,0.000545554,0
810,0.000911369,0,0.000545554,0
820,0.000683527,0,0.000545554,0
830,0.000683527,0,0.000545554,0
840,0.000683527,0,0.000545554,0.000876424
850,0.000683527,0,0.000272777,0.974583699
860,0.000683527,0,0.000272777,0.891323401
870,0.000683527,0,0.000272777,0.831726556
880,0.000455685,0,0.000272777,0.743207713
890,0.000455685,0,0.000272777,0.035933392
900,0.000455685,0,0.000272777,0
910,0.000455685,0,0.000272777,0
920,0.000455685,0,0.000272777,0
930,0.000227842,0,0.000272777,0
940,0.000227842,0,0.000272777,0
950,0.000227842,0,0,0
960,0.000227842,0,0,0
970,0.000227842,0,0,0
980,0.000227842,0,0,0
990,0.000227842,0,0,0
1000,0,0,0,0
