Wavlength (nm),b,g,r,re,nir
392,0.007916994,0.017996772,0.006575214,0.011475556,0.005032876
393,0.007836119,0.015377092,0.01003841,0.023561806,0.004923862
394,0.006408463,0.015208582,0.009208934,0.0288153,0.00559722
395,0.006274051,0.00956148,0.009869809,0.024974902,0.004230779
396,0.005210111,0.010333228,0.007012819,0.005396774,0.00578746
397,0.003382127,0.007077992,0.005306141,0,0.004939154
398,0.005566424,0.010298423,0.004415862,0.006229999,0.004913548
399,0.003391899,0.011539877,0.005378466,0.014321272,0.005320168
400,0.004823789,0.010006497,0.008534867,0.021332277,0.004430314
401,0.005666317,0.008307745,0.012671998,0.01092528,0.005579686
402,0.003874147,0.004953326,0.012285631,0.025335665,0.004320438
403,0.005692579,0.009440235,0.005230026,0.021117783,0.006344156
404,0.005171388,0.006440594,0.006837743,0.019787975,0.005248328
405,0.004043891,0.005809634,0.011547675,0.015211859,0.004769781
406,0.004885415,0.007229863,0.006127595,0.014067004,0.003563265
407,0.006022892,0.006825146,0.004595827,0.005334084,0.002592851
408,0.003812649,0.004622162,0.011599214,0.013177229,0.003318791
409,0.003849618,0.007099285,0.016114085,0.004356292,0.003564326
410,0.004944992,0.004030119,0.017099772,0,0.00569443
411,0.00363162,0.004409565,0.012334947,0,0.005915197
412,0.006007505,0.005859277,0.010456706,0.009917697,0.005549681
413,0.005447389,0.003209253,0.009852606,0.031339689,0.003143127
414,0.00411123,0.003764066,0.009082691,0.059398463,0.003811232
415,0.004070285,0.0041701,0.01037994,0.050647488,0.00334302
416,0.003207938,0.004900731,0.019138013,0.04632459,0.00391166
417,0.003623459,0.004556535,0.028187061,0.031919789,0.003482588
418,0.00368938,0.003522513,0.038969331,0.032536024,0.003159815
419,0.002797517,0.00392423,0.038874992,0.033185077,0.003616337
420,0.003516422,0.005709281,0.041622634,0.044501552,0.003187478
421,0.004523381,0.007318774,0.03409044,0.080810418,0.005810811
422,0.002608949,0.006840673,0.019660331,0.10552041,0.003452728
423,0.003060975,0.007510769,0.011053679,0.07287095,0.002919242
424,0.002932234,0.006765389,0.010357623,0.04675498,0.003126893
425,0.002474604,0.007376089,0.016887804,0.028096073,0.002643277
426,0.00242982,0.009247433,0.027158234,0.01074452,0.002910758
427,0.002571319,0.010417342,0.023801525,0.010293797,0.002731704
428,0.002589744,0.013051088,0.012613923,0.010724823,0.004949676
429,0.002716507,0.017925775,0.012916686,0.010758319,0.004890037
430,0.003467372,0.024265949,0.01368402,0.004812638,0.004508422
431,0.003573424,0.03117089,0.020327632,0.006378997,0.002000492
432,0.003495686,0.047527364,0.022090615,0.007291499,0.002245831
433,0.003433434,0.055118094,0.015265782,0.009825362,0.003100414
434,0.003013249,0.060908944,0.011935678,0.006914117,0.004648067
435,0.003406415,0.060903054,0.009729947,0.00441897,0.003993328
436,0.002119901,0.056242268,0.011104688,0.005376641,0.00259822
437,0.002262125,0.042903586,0.017498914,0.007467742,0.002760811
438,0.002597272,0.032393536,0.015138471,0.009847463,0.002600813
439,0.001859333,0.025867105,0.010528787,0.009268751,0.002534448
440,0.002279207,0.021056567,0.008016136,0.006192454,0.002603831
441,0.002295029,0.01659829,0.007782245,0.006055122,0.002706996
442,0.00261088,0.012090596,0.010710053,0.004930279,0.002267684
443,0.003195713,0.009697691,0.0208412,0.00542591,0.00187073
444,0.003691617,0.009920858,0.033104764,0.007620997,0.002096975
445,0.003253376,0.009020576,0.031904027,0.004621939,0.002199204
446,0.003275682,0.007094434,0.016726614,0.003381935,0.001591301
447,0.003077671,0.006995666,0.014454454,0.004097473,0.002054588
448,0.00269909,0.007013514,0.019327943,0.006718366,0.001878916
449,0.002496636,0.00623971,0.02392481,0.006792135,0.001447952
450,0.002545608,0.006056173,0.023684663,0.006711631,0.002112227
